trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
183,False,"{'a': 0.015, 'e': 0.16041356777517274}",20,5,16.420439344711447,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.015, 'e': 0.15881742610692068}",30,16,20.613494057127202,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.015, 'e': 0.1572371663136276}",35,15,31.16507505708606,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.015, 'e': 0.1556726303679973}",20,13,3.8941497894632944,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.015, 'e': 0.1541236618151314}",20,12,-6.317662310091389,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
188,False,"{'a': 0.015, 'e': 0.15259010575688386}",30,11,-15.244705025790743,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
189,False,"{'a': 0.015, 'e': 0.15107180883637084}",20,2,-26.7758362077579,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
190,False,"{'a': 0.015, 'e': 0.14956861922263504}",20,1,29.49302524748157,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.015, 'e': 0.14808038659546244}",30,14,3.2994174646956305,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.015, 'e': 0.14660696213035015}",30,14,27.17236363442215,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.015, 'e': 0.14514819848362373}",30,19,-15.925974587005637,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
194,False,"{'a': 0.015, 'e': 0.14370394977770293}",20,4,29.62415187254164,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.015, 'e': 0.1422740715865136}",30,1,20.904577049294765,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
196,False,"{'a': 0.015, 'e': 0.140858420921045}",20,4,-10.207271035405052,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
197,False,"{'a': 0.015, 'e': 0.13945685621505094}",25,6,8.353642659304576,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
198,False,"{'a': 0.015, 'e': 0.13806923731089282}",25,11,14.624804106467366,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.015, 'e': 0.13669542544552385}",30,3,38.661454616177345,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.015, 'e': 0.1353352832366127}",25,18,14.011723455767822,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.015, 'e': 0.13398867466880493}",20,8,23.11044683564626,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.015, 'e': 0.13265546508012172}",20,0,-7.119031674192088,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
203,False,"{'a': 0.015, 'e': 0.13133552114849303}",25,14,20.85144906037719,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.015, 'e': 0.1300287108784259}",25,13,-25.33611942748241,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
205,False,"{'a': 0.015, 'e': 0.12873490358780423}",20,14,12.789805053419894,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.015, 'e': 0.12745396989482075}",25,7,19.263093420834647,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.015, 'e': 0.12618578170503877}",30,13,6.259377358905914,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.015, 'e': 0.12493021219858241}",25,13,19.62291714644933,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.015, 'e': 0.12368713581745483}",20,14,10.591933846664464,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.015, 'e': 0.1224564282529819}",20,0,15.520348021574899,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.015, 'e': 0.12123796643338168}",30,14,-37.32933198057733,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
212,False,"{'a': 0.015, 'e': 0.12003162851145673}",35,28,15.90603693757532,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.015, 'e': 0.11883729385240965}",20,10,7.98371296348808,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.015, 'e': 0.11765484302177918}",30,17,12.31960959643447,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.015, 'e': 0.11648415777349697}",25,9,-15.106072712339946,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
